Date,No
2018/1/1,478.2072449
2018/1/2,464.1069336
2018/1/3,462.6948853
2018/1/4,410.6911621
2018/1/5,484.2538376
2018/1/6,459.4648247
2018/1/7,501.9700012
2018/1/8,422.9759827
2018/1/9,382.4401093
2018/1/10,392.4921284
2018/1/11,403.6863937
2018/1/12,445.1047974
2018/1/13,443.5465012
2018/1/14,540.4382324
2018/1/15,417.1664124
2018/1/16,469.0491028
2018/1/17,453.7384644
2018/1/18,467.899292
2018/1/19,455.5539551
2018/1/20,457.571167
2018/1/21,558.4922791
2018/1/22,501.5060425
2018/1/23,448.6954346
2018/1/24,473.5878296
2018/1/25,462.9117355
2018/1/26,430.4825325
2018/1/27,426.7885132
2018/1/28,500.3562317
2018/1/29,467.223526
2018/1/30,397.0951538
2018/1/31,391.5780792
2018/2/1,359.6153564
2018/2/2,362.9815788
2018/2/3,465.3475189
2018/2/4,482.6904984
2018/2/5,379.9690247
2018/2/6,380.1304016
2018/2/7,392.6976318
2018/2/8,403.1972198
2018/2/9,430.6413879
2018/2/10,478.7922363
2018/2/11,602.4775848
2018/2/12,422.4262924
2018/2/13,471.8656349
2018/2/14,444.6610107
2018/2/15,550.4536896
2018/2/16,591.0399933
2018/2/17,773.5270691
2018/2/18,840.2362671
2018/2/19,844.6943054
2018/2/20,747.5806808
2018/2/21,516.5159903
2018/2/22,554.6444473
2018/2/23,515.3945465
2018/2/24,503.9972992
2018/2/25,574.1710587
2018/2/26,469.432373
2018/2/27,464.4503324
2018/2/28,555.7438278
2018/3/1,480.353054
2018/3/2,451.307724
2018/3/3,500.9008789
2018/3/4,516.3527222
2018/3/5,484.15802
2018/3/6,496.6647339
2018/3/7,446.6832657
2018/3/8,438.5286865
2018/3/9,428.3215942
2018/3/10,480.3253174
2018/3/11,514.1804371
2018/3/12,462.5738525
2018/3/13,458.7361069
2018/3/14,475.7664185
2018/3/15,471.7269516
2018/3/16,465.6400146
2018/3/17,512.8478165
2018/3/18,522.3640137
2018/3/19,471.5504456
2018/3/20,478.4291382
2018/3/21,462.0897217
2018/3/22,423.0465851
2018/3/23,444.701355
2018/3/24,488.7421341
2018/3/25,512.8831177
2018/3/26,453.4560547
2018/3/27,442.7244873
2018/3/28,438.3572235
2018/3/29,439.0128174
2018/3/30,461.6787148
2018/3/31,484.4202576
2018/4/1,555.4614182
2018/4/2,488.7169189
2018/4/3,472.8641548
2018/4/4,557.8467712
2018/4/5,520.9923096
2018/4/6,549.1929321
2018/4/7,459.9237404
2018/4/8,463.663147
2018/4/9,452.6037827
2018/4/10,446.2747803
2018/4/11,438.0243835
2018/4/12,437.9840393
2018/4/13,472.4985352
2018/4/14,479.5612984
2018/4/15,506.508728
2018/4/16,421.5412407
2018/4/17,432.1139526
2018/4/18,411.3820572
2018/4/19,425.0537109
2018/4/20,411.3770142
2018/4/21,484.0218582
2018/4/22,477.6625977
2018/4/23,390.8014526
2018/4/24,388.1992493
2018/4/25,490.3357315
2018/4/26,430.9641418
2018/4/27,453.8292389
2018/4/28,469.59375
2018/4/29,444.2373962
2018/4/30,389.6919861
2018/5/1,421.4630737
2018/5/2,415.2097168
2018/5/3,412.3049316
2018/5/4,409.662384
2018/5/5,410.7113342
2018/5/6,480.2143707
2018/5/7,456.0784302
2018/5/8,404.3621597
2018/5/9,398.315567
2018/5/10,355.5456314
2018/5/11,420.2798529
2018/5/12,405.07827
2018/5/13,470.2089996
2018/5/14,436.3526192
2018/5/15,404.41259
2018/5/16,409.9246216
2018/5/17,428.9923172
2018/5/18,426.1026611
2018/5/19,493.0841827
2018/5/20,524.3812256
2018/5/21,461.6963654
2018/5/22,407.4258003
